file_names, EMPH,PRMD,SPAU,CONT,JJ,VBD,THATD,DEMO,PUBV,OSUB,PEAS,TSUB,SMP,THAC,CONC,COND,DEMP,THVC,CONJ,SUAV,PRIV,GER,WZPRES,WHCL,NN,WZPAST,PASTP,PIRE,ANDC,CAUS,TO,SERE,SYNE,RB,FPP1,AMP,PRESP,PIT,NEMD,TPP3,WHSUB,WHOBJ,STPR,BEMA,TIME,XX0,DWNT,POMD,PLACE,EX,PASS,INPR,SPIN,TOBJ,HDG,BYPA,PIN,PHC,VPRT,DPAR,WHQU,SPP2,NOMZ,PROD,PRED, TTR, AWL
legalS1B-068_MAT.txt, 23, 31, 7, 77, 100, 98, 20, 50, 31, 2, 14, 6, 6, 0, 0, 11, 31, 10, 2, 13, 64, 2, 6, 12, 304, 2, 4, 2, 11, 4, 34, 0, 4, 87, 92, 6, 2, 39, 0, 60, 6, 1, 12, 58, 7, 57, 0, 26, 3, 15, 22, 1, 0, 3, 4, 0, 157, 5, 141, 9, 1, 80, 47, 8, 33, 45.0, 4.18735471874
speechS2A-025_MAT.txt, 20, 33, 2, 133, 164, 18, 19, 26, 18, 0, 1, 1, 0, 0, 0, 12, 29, 6, 2, 3, 118, 23, 27, 19, 450, 1, 0, 3, 29, 9, 80, 0, 5, 98, 72, 10, 4, 41, 1, 83, 5, 1, 20, 66, 2, 33, 0, 16, 4, 15, 0, 2, 2, 2, 6, 0, 182, 2, 358, 6, 13, 212, 32, 19, 14, 31.75, 4.0301051868
fictionW2F-002_MAT.txt, 17, 13, 7, 65, 93, 188, 5, 12, 35, 4, 5, 0, 2, 0, 1, 1, 18, 1, 1, 4, 26, 6, 4, 1, 488, 1, 7, 0, 18, 0, 18, 0, 9, 97, 54, 1, 9, 23, 1, 195, 0, 0, 15, 37, 9, 27, 1, 4, 13, 2, 1, 4, 0, 0, 1, 0, 199, 19, 93, 2, 16, 58, 6, 5, 10, 48.75, 3.83891120036
telephoneS1A-091_MAT.txt, 50, 11, 7, 92, 86, 119, 24, 26, 11, 4, 10, 5, 3, 0, 1, 5, 25, 0, 1, 3, 85, 3, 3, 7, 420, 0, 0, 0, 19, 5, 20, 2, 5, 101, 88, 4, 1, 58, 3, 140, 1, 2, 10, 46, 3, 44, 0, 17, 13, 5, 3, 2, 0, 2, 10, 0, 116, 7, 209, 7, 3, 74, 1, 10, 13, 41.25, 3.7619047619
opinionsocc_2013_13936793_MAT.txt, 5, 1, 6, 5, 90, 16, 1, 11, 2, 0, 7, 0, 0, 0, 0, 1, 7, 1, 2, 1, 5, 1, 1, 0, 204, 2, 1, 1, 3, 1, 10, 1, 0, 22, 3, 2, 0, 7, 1, 9, 0, 0, 2, 15, 3, 4, 2, 2, 1, 0, 5, 0, 0, 1, 0, 4, 97, 18, 38, 0, 0, 1, 25, 0, 5, 57.75, 5.08432147563
academicW2A-028_MAT.txt, 1, 0, 15, 0, 231, 28, 0, 7, 2, 0, 6, 4, 0, 0, 1, 1, 3, 7, 14, 3, 16, 19, 9, 0, 635, 2, 4, 1, 10, 5, 8, 2, 2, 56, 4, 4, 3, 1, 1, 6, 0, 0, 0, 29, 28, 4, 3, 5, 37, 1, 29, 0, 2, 0, 0, 5, 212, 47, 85, 0, 0, 0, 88, 0, 13, 60.5, 5.5
opinionsocc_2014_20704953_MAT.txt, 2, 3, 2, 6, 57, 33, 1, 3, 2, 2, 3, 2, 0, 0, 0, 1, 5, 2, 0, 1, 9, 6, 2, 0, 214, 4, 1, 1, 5, 0, 18, 0, 1, 17, 0, 1, 2, 10, 1, 20, 2, 1, 0, 11, 6, 7, 5, 3, 0, 0, 4, 0, 0, 2, 0, 1, 81, 7, 20, 1, 0, 1, 17, 1, 1, 55.25, 4.98100407056
lessonS1B-007_MAT.txt, 31, 24, 6, 132, 77, 126, 20, 18, 35, 3, 5, 0, 0, 0, 2, 8, 34, 5, 0, 3, 62, 2, 6, 7, 425, 1, 1, 0, 43, 6, 27, 1, 3, 113, 164, 8, 0, 63, 1, 75, 2, 0, 9, 66, 15, 32, 1, 9, 2, 3, 9, 3, 0, 1, 2, 1, 123, 3, 202, 4, 5, 69, 14, 11, 27, 48.0, 3.62701784197
scripted-brdcastnS2B-012_MAT.txt, 13, 12, 9, 31, 117, 53, 13, 28, 30, 1, 15, 2, 1, 0, 5, 5, 11, 0, 5, 11, 16, 26, 11, 0, 594, 2, 3, 0, 11, 2, 43, 1, 7, 62, 21, 3, 2, 29, 7, 60, 4, 1, 15, 32, 22, 10, 2, 4, 17, 6, 14, 0, 0, 2, 1, 2, 195, 12, 117, 1, 0, 2, 53, 4, 11, 51.25, 4.56672932331
academicW2A-024_MAT.txt, 15, 21, 10, 0, 232, 19, 6, 20, 6, 7, 9, 4, 3, 0, 2, 4, 7, 5, 8, 10, 23, 15, 3, 0, 569, 7, 1, 6, 12, 4, 45, 5, 1, 66, 4, 2, 3, 26, 4, 15, 3, 1, 0, 29, 5, 7, 11, 12, 1, 0, 22, 0, 0, 1, 0, 3, 283, 22, 94, 0, 1, 0, 109, 1, 18, 62.25, 5.51843317972
